name,price
"COLA zéro sans sucre, 1,5L ",0.63
"Boisson gazéifiée aux extraits de fruits aromatisée 1,5L ",
"Boisson gazifiée au jus d'orange à base de concentré avec sucre etédulcorant 1,5L ",0.91
"Boisson gazeuse aromat.jus orange ABC SAN PELLEGRINO, ARANCIATA, 6X33cl ",
"Boisson gazeuse arômatisée jus d'orange et orange sanguine SAN PELLEGRINO, 6x33cl ",
"Boisson gazeuse arômatisée au jus de citron SAN PELLEGRINO, 6x33cl ",3.15
"Limonade à l'ancienne Saveurs U, bouteille en verre de 1l ",2.0
"Limonde zéro sans sucre U, 1,5l ",0.7
"Limonade LORINA zéro pet 6x1,5litre offres spéciale ",
"Limonade aromatisée double zest LORINA 6x1,5L offre spéciale ",
"Boisson gazéifiée à l'extrait de citron et de citron vert avec sucreet édulcorant 1,5L ",0.78
