name,price
"Penne rigate n°66 RUMMO, sachet de 500g ",1.85
"Pâtes Fusilli n°48 RUMMO, sachet de 500g ",1.95
"Spaghetti n°5 grossi RUMMO, sachet de 500g ",1.95
"Casarecce n°88 RUMMO, sachet de 500g ",1.95
"Pâtes linguine n°13 RUMMO, sachet de 500g ",1.85
"Pâtes créatives linguine PANZANI, sachet de 500g ",
"Farfalle n°85 RUMMO, sachet de 500g ",1.85
GRISSINI ARTIGIANALI TRADITIONNELS 300G ,1.87
Amaretti pistache Falcone CASTELLI 170g ,2.63
"Pasta&bruschetta aubergines parmesan basilic FLORELLI, 190g ",2.15
Asperges tomates parmesan FLORELLI 190g ,2.39
"Pasta&bruschetta artichauts tomates mascarpone FLORELLI, 190G ",2.15
Amaretti classique Falcone CASTELLI 170g ,3.29
"Chips vitelottes U SAVEURS, sachet de 125g ",
"Chips paysanne nature U, paquet de 150g ",0.97
"Chips de légumes U SAVEURS, paquet de 100g ",
"Chips paysannes LAY'S, 300g+10% offert, 330g ",
"Chips à l'ancienne LAY'S, 300g+10% offert, 330g ",
"Penne rigate n°66 RUMMO, sachet de 500g ",1.85
"Pâtes Fusilli n°48 RUMMO, sachet de 500g ",1.95
"Spaghetti n°5 grossi RUMMO, sachet de 500g ",1.95
"Casarecce n°88 RUMMO, sachet de 500g ",1.95
"Pâtes linguine n°13 RUMMO, sachet de 500g ",1.85
"Pâtes créatives linguine PANZANI, sachet de 500g ",
"Farfalle n°85 RUMMO, sachet de 500g ",1.85
GRISSINI ARTIGIANALI TRADITIONNELS 300G ,1.87
Amaretti pistache Falcone CASTELLI 170g ,2.63
"Pasta&bruschetta aubergines parmesan basilic FLORELLI, 190g ",2.15
Asperges tomates parmesan FLORELLI 190g ,2.39
"Pasta&bruschetta artichauts tomates mascarpone FLORELLI, 190G ",2.15
Amaretti classique Falcone CASTELLI 170g ,3.29
"Chips vitelottes U SAVEURS, sachet de 125g ",
"Chips paysanne nature U, paquet de 150g ",0.97
"Chips de légumes U SAVEURS, paquet de 100g ",
"Chips paysannes LAY'S, 300g+10% offert, 330g ",
"Chips à l'ancienne LAY'S, 300g+10% offert, 330g ",
"Chips nature finement salées LAY'S, 300g+10% offert 330g ",
"Chips paysannes nature LAY'S, 6x27, 5g ",1.49
