name,price
"Cola regular U, 6x33cl ",1.72
"Soda cola zéro U, 6 canettes de 33cl ",1.69
"Boisson gazéifiée saveur cola avec édulcorant 1,5L ",0.6
Boisson gazéfiée saveur cola avec sucre et édulcorant U Pet 2L ,0.8
Boisson gazéifiée saveur cola et cerise avec sucre et édulcorant ,0.91
"COLA zéro sans sucre, 1,5L ",0.64
Boisson gazéifiée saveur cola avec sucre et édulcorant 1L ,0.51
"Boisson gazéifiée saveur cola avec édulcorant, 1L ",0.57
"Cola Transparent édition limitée U, 1l ",0.56
"Boisson gazéifiée saveur cola avec sucre et édulcorant, 1,5L ",0.61
"Boisson gazifiée saveur cola avec sucre et édulcorant, 4x1,5L ",2.43
"PEPSI Max, 1,5l ",
"COCA COLA, 8 mini canettes de 15cl ",3.05
"Cola regular PEPSI, 1,5l ",1.19
"COCA-COLA, bouteille en plastique 6x1,25l ",8.94
"COCA-COLA Zéro, 4x50cl ",2.96
"COCA-COLA light, bouteille en plastique de 1,25L ",1.39
"PEPSI Max, 6 canettes de 33cl ",2.35
"Cola ELSASS, boite aluminium 6 bouteilles de 33cl ",1.72
"COCA-COLA zéro lemon, bouteille en plastique de 1,25l ",1.69
"COCA-COLA zero sans caféine, bouteille de 1,25l ",0.6
"COCA-COLA, bouteille en plastique de 1,75l ",0.8
"COCA COLA zéro, 6x1,25L ",0.91
"COCA-COLA, 4 bouteilles en plastique de 50cl ",0.64
"COCA COLA light, 8x25cl ",0.51
"Boisson rafraîchissante DR PEPPER, bouteille de 1,5l ",0.57
"PEPSI Max cherry, bouteille de 1,5 litre ",0.56
"COCA-COLA, 10 canettes de 33cl ",0.61
"COCA-COLA zéro, 6x33cl ",2.43
"Cola ELSASS, 6 bouteilles de 50cl ",
"COCA COLA zéro, 8 mini canettes de 15cl ",3.05
"DR PEPPER, 6 canettes de 33cl ",1.19
"PEPSI Max, bouteille de 1l ",8.94
"COCA-COLA, 6 boîtes de 33cl ",2.96
"PEPSI Cola Regular, 6 canettes de 33cl ",1.39
"COCA-COLA cherry, 6 boites de 33cl ",2.35
"Cola ELSASS, bouteille de 1,25l ",1.15
"COCA COLA zéro, bouteille de 1,25L ",
"COCA COLA vanille, bouteille en plastique de 1,25litre ",
"COCA-COLA Zéro, bouteille en plastique de 1,75l ",1.72
"Cola puma, bouteille de 1,5l ",0.43
"Boisson gazéifiée aux extraits de fruits aromatisée 1,5L ",1.09
"Soda saveur orange U, bouteille de 1 litre ",
"Soda saveur agrumes U, bouteille de 1l ",0.75
"Boisson gazifiée aromatisée agrumes avec édulcorant 1,5L ",0.89
"Boisson gazéifiée citron, citron vert et menthe avec sucre et édulcorant, 1,5L ",1.02
"Soda saveur agrumes, 1,5l ",0.96
"Diabolo menthe U, bouteille en plastique de 1,5L ",1.09
"Boisson gazifiée au jus d'orange à base de concentré avec sucre etédulcorant 1,5L ",0.92
"Boisson gaziéfiée au jus de citron à base de concentré avec sucre etédulcorant 1,5L ",
"SCHWEPPES agrum', bouteille de 1l ",1.41
"SCHWEPPES agrum zéro, bouteille de 1,5l ",1.52
"PULCO fines bulles citron citron vert, 1l ",1.74
"Boisson gazeuse arômatisée jus d'orange et orange sanguine SAN PELLEGRINO, 6x33cl ",3.15
"Agrum SCHWEPPES, bouteille en plastique de 1,5 litre ",1.57
"Orange FANTA, bouteille de 1,5l ",1.35
"FANTA Citron frappé, 1,5L ",1.41
"PULCO fines bulles saveur citron, bouteille de 1l ",1.68
"SCHWEPPES, lemon slim can 6x33cl ",3.37
"SCHWEPPES, agrum zéro slim can 6x33cl ",3.18
"RICQLES menthe, 8x25cl ",5.05
"FANTA Orange, bouteille de 1l ",1.23
"Mojito SCHWEPPES, 6 canettes slim de 33cl ",3.51
"Boisson gazeuse aromat.jus orange ABC SAN PELLEGRINO, ARANCIATA, 6X33cl ",3.15
"SCHWEPPES, agrum slim can 6x33cl ",3.0
"Boisson gazeuse arômatisée au jus de citron SAN PELLEGRINO, 6x33cl ",3.15
"Schweppes lemon zéro, bouteille de 1,5l ",1.49
"Boisson gazeuse aromatisée jus de citron et menthe SAN PELLEGRINO, 6x33cl ",3.49
"SCHWEPPES Lemon, 1,5 litre ",1.59
"SCHWEPPES mojito, bouteille de 1l ",1.37
"FANTA orange, 6x33cl ",3.48
"SCHWEPPES agrum, pack boîtes de 12x15cl ",4.69
"SCHWEPPES agrumes,  4 bouteilles de 50cl ",3.52
"PULCO fines bulles saveur citron menthe, bouteille de 1l ",1.78
"Pulpé orange puma, bouteille de 1,5l ",0.67
"Boisson gazéifiée au jus d'orange pulpé à base de concentré avecédulcorant 1,5L ",0.7
"Orangeade pulpée U, bouteille de 1 litre ",0.75
"Boisson gazéifiée au jus d'orange pulpé à base de concentré avec sucre1,5L ",0.99
"Boisson gazifiée aux jus d'oranges pulpés à base de concentrés avecsucre et édulcorant 1,5L ",0.99
"ORANGINA standard, bouteille de 1l ",1.4
ORANGINA light slim boîte 6x33cl ,3.09
"ORANGINA standard pet 4x1,5 litre ",5.99
"ORANGINA, bouteille en plastique de 1,5l ",1.55
"ORANGINA, 12 canettes de 15cl ",4.56
"ORANGINA standard, slim cannette 6x33cl ",2.98
"ORANGINA light, bouteille de 1l ",1.48
"SEVEN UP Lemon citron, bouteille de 1,25l ",1.63
"Boisson gazeuse à l'eau de source pomme et poire, POM'DE LISBETH, bouteille de 1,25l ",1.23
"ORANGINA Rouge orange sanguine, bouteille de 1,5l ",1.81
"ORANGINA, 8 bouteilles de 25cl ",4.34
"ORANGINA, 4 bouteilles de 50cl ",3.52
"Orangina light pet 1,5 litre ",1.78
"Cocktail sans alcool mojito LORINA, bouteille en plastique de 1,5l ",0.67
"ORANGINA standard à la pulpe d'orange, bouteille de 2 litres ",0.7
"ORANGINA, 6 bouteilles de 25cl ",0.75
"Limonde zéro sans sucre U, 1,5l ",0.99
"Limonade U BIO, bouteille de 1l ",0.99
"Limonade à l'ancienne Saveurs U, bouteille en verre de 1l ",1.4
"Limonade U, 6 bouteilles de 33cl ",3.09
"Limonade U PET, 6x1,5L ",5.99
"Limonade zéro LORINA, 1,5l ",1.55
Limonade artisanale LORINA  Pet 45cl ,4.56
"Limonade cristal LORINA, 1,25l ",2.98
"Limonade La Mortuacienne RIEME, 1l ",1.48
"Limonade double zest LORINA, bouteille de 1,5l ",1.63
"Limonande LINESS, bouteille de 1,25l ",1.23
"Limonade artisanale LORINA, bouteille de 1l ",1.81
"Limonade bio ""Recette Authentique"" LORINA, 1,25l ",4.34
"Limonade Bio LINESS, bouteille en verre de 75cl ",3.16
"Limonade LINESS, 6x33cl ",1.52
"Orangeade artisanale bio LORINA, bouteille en plastique de 1,25cl ",2.0
"Limonade MIXMI, bouteille en verre de 1l ",2.05
"Limonade puma, bouteille de 1,5 litre ",3.28
"Limonade 1er prix, bouteille en verre de 1l ",0.75
"Tonic zero U PET, 1,50L ",0.85
"Tonic U PET, 1,50L ",1.99
"Tonic U, 6 bouteille de 33cl ",2.28
"SCHWEPPES, Indian Tonic slim can 6x33cl ",4.2
"SCHWEPPES, Indian tonic zéro slim can 6x33cl ",1.48
"Indian Tonic SCHWEPPES, 8x25cl ",
"Tonic Water FEVER TREE, 4x20cl ",2.15
"SCHWEPPES indian tonic, 4 bouteilles de 50cl ",1.8
"GINI Lemon, 6 canettes de 33cl ",1.22
"CANADA DRY Ginger Ale, 6x33cl ",0.8
"SCHWEPPES Indian Tonic, bouteille de 1,5l ",2.77
"SCHWEPPES Indian Tonic zero, 1,5l ",2.09
"GINI, bouteille de 1,5l ",1.75
"CANADA DRY, bouteille de 1,5l ",2.72
"SCHWEPPES Indian Tonic, 12 boîtes de 15cl ",2.15
"Boisson gazéifiée à l'extrait de citron et de citron vert avec sucreet édulcorant 1,5L ",0.8
