name,price
"Pâtes italiennes torciglioni n°1 U, 500g ",1.35
"Coudes rayés qualité supérieure U, sachet de 1kg ",1.05
"Coquillette cuisson rapide U, sachet de 500g ",0.48
"Pates torsade qualité supérieure U, paquet de 1kg ",0.85
"Pâtes italiennes lumache medie n°16 U, 500g ",1.35
"Spaghetti qualité supérieure U, sachet cello de 1kg ",0.7
"Coudes rayés qualité supérieure U, paquet cello de 500g ",0.72
"Macaroni qualité supérieure U, sachet de 1kg ",0.78
"Torsade cuisson rapide U, sachet de 500g ",0.47
"Macaroni qualité supérieure U, paquet cello de 500g ",0.39
"Pâtes italiennes fusilli n°6 U, paquet de 500g ",1.35
"Pâtes italiennes cavatappi n°10 U, paquet de 500g ",1.35
"Torsade qualité supérieure U, paquet cello de 500g ",0.46
"Pâtes Italiennes linguinei n°9 U, paquet de 500g ",1.35
"Nouilles qualité supérieure cello U, paquet de 1kg ",0.89
"Coquillette qualité supérieure U, paquet cello de 500g ",0.39
"Spaghetti qualité supérieure U, paquet cello de 500g ",0.39
"Mini tortillon qualité supérieure U, paquet cello de 1kg ",1.55
"Coquillettes qualité supérieure U, sachet de 1kg ",1.35
"Gansettes PANZANI, 500g ",1.05
"Spaghettini n°3 BARILLA, 500g ",0.48
"Macaroni PANZANI, paquet de 500g ",0.85
"Pâtes Fusilli n°48 RUMMO, sachet de 500g ",1.35
"Coquillettes PANZANI, 500g ",0.7
"Spaghettoni n°7 BARILLA, 500g ",0.72
"Tagliatelles n°16 BARILLA,boîte de 500g ",0.78
"Fusilli PANZANI, 500g ",0.47
"Pâtes coudes rayés cuisson rapide PANZANI, 500g ",0.39
"Spaghetti PANZANI, paquet de 500g ",1.35
"Spaghetti n°5 BARILLA, 1kg ",1.35
"Coudes rayés PANZANI,paquet de 500g ",0.46
Macaroni qualité supérieure BARILLA étui 500g ,1.35
"Torsades BARILLA, étui de 500g ",0.89
"Coquillettes BARILLA, étui de 500g ",0.39
"Coquillettes BARILLA, 1kg ",0.39
"Spaghetti 11 minutes academia BARILLA, 500g ",1.55
"Spaghetti n°5 qualité supérieure BARILLA, étui de 500g ",0.76
"Penne rigate n°66 RUMMO, sachet de 500g ",
"Penne ziti rigate n°27 DIVELLA, sachet de 500g ",1.03
"Torti PANZANI, paquet de 500g ",0.73
"Spaghetti n°5 sans gluten BARILLA, boite de 400g ",1.7
"Gansettes qualité pâtes fraîches PANZANI, paquet de 400g ",0.73
