name,price
"Pâtes italiennes torciglioni n°1 U, 500g ",1.31
"Coudes rayés qualité supérieure U, sachet de 1kg ",1.12
"Coquillette cuisson rapide U, sachet de 500g ",0.5
"Pates torsade qualité supérieure U, paquet de 1kg ",0.87
"Spaghetti qualité supérieure U, sachet cello de 1kg ",0.72
"Coudes rayés qualité supérieure U, paquet cello de 500g ",0.67
"Macaroni qualité supérieure U, sachet de 1kg ",0.8
"Torsade cuisson rapide U, sachet de 500g ",0.49
"Macaroni qualité supérieure U, paquet cello de 500g ",0.41
"Pâtes italiennes fusilli n°6 U, paquet de 500g ",1.31
"Torsade qualité supérieure U, paquet cello de 500g ",0.48
"Pâtes Italiennes linguinei n°9 U, paquet de 500g ",1.31
"Coquillette qualité supérieure U, paquet cello de 500g ",0.41
"Spaghetti qualité supérieure U, paquet cello de 500g ",0.41
"Coquillettes qualité supérieure U, sachet de 1kg ",0.78
"Spaghettini n°3 BARILLA, 500g ",1.13
"Macaroni PANZANI, paquet de 500g ",0.75
"Spaghettoni n°7 BARILLA, 500g ",0.81
"Fusilli PANZANI, 500g ",1.31
"Spaghetti n°12 DE CECCO, paquet de 500g ",1.12
"Spaghetti PANZANI, paquet de 500g ",0.5
"Coudes rayés PANZANI,paquet de 500g ",0.87
Macaroni qualité supérieure BARILLA étui 500g ,0.72
"Torsades BARILLA, étui de 500g ",0.67
"Coquillettes BARILLA, étui de 500g ",0.8
"Spaghetti 11 minutes academia BARILLA, 500g ",0.49
"Spaghetti n°5 qualité supérieure BARILLA, étui de 500g ",0.41
"Torti PANZANI, paquet de 500g ",1.31
"Spaghetti n°5 sans gluten BARILLA, boite de 400g ",0.48
"Fusilli 8 minutes academia BARILLA, 500g ",1.31
"Pipe rigate BARILLA, boîte de 500g ",0.41
"Coquillettes cuisson rapide PANZANI, 500g ",0.41
"Pâtes spaghetti cuisson rapide PANZANI, 500g ",0.78
"Mini farfalle piccolini BARILLA, paquet de 500g ",1.13
"Farfalle qualité supérieure U, sachet de 1kg ",0.75
"Penne Rigate qualité supérieure U, sachet de 1kg ",0.81
"Farfalle qualité supérieure cello U, 500g ",1.03
"Penne qualité supérieure cello U, 500g ",1.52
Capellini Numéro 1 BARILLA étui 500g ,0.73
"Fusilli BARILLA, étui de 500g ",0.91
"Farfalline BARILLA, 500g ",0.9
"Pâtes fantaisie Capellini PANZANI, sachet de 500g ",0.83
"Pâtes collez castellane BARILLA, 500g ",0.81
Pâtes la farfalla GRANO ARMANDO 500g ,
"Pâtes penne rigate cuisson rapide PANZANI, sachet de 500g ",0.8
"Linguine 8 minutes academia BARILLA, 500g ",0.74
"Penne Rigate BARILLA, paquet de 500g ",1.67
"Penne rigate sans gluten BARILLA, boite de 400g ",1.97
"Fusilli n°34 DE CECCO, 500g ",0.85
"Linguine n°7 DE CECCO, paquet de 500g ",1.0
"Penne Rigate n°41 DE CECCO, paquet de 500g ",0.99
"Linguine La Collezione BARILLA, 500g ",0.99
"Tagliatelles Fantaisie PANZANI, paquet de 500g ",0.92
"Pâtes fantaisies Serpentini PANZANI, sachet de 500g ",0.99
"Pâtes fantaisies Penne Rigate PANZANI, sachet de 500g ",0.63
"Tagliatelles IGP d'Alsace aux oeufs U, sachet de 250g ",0.6
"Petits nids IGP d'Alsace aux oeufs U, sachet de 250g ",0.83
"Spaghetti aux oeufs IGP d'Alsace U, sachet de 250g ",0.96
"Papillons aux oeufs IGP d'Alsace U, sachet de 250g ",
"Pâtes aux oeufs macaroni IGP d'Alsace U, sachet de 250g ",0.82
"Torsades IGP d'Alsace aux oeufs U, sachet de 250g ",1.15
"Penne aux oeufs rigate IGP d'Alsace U, sachet de 250g ",1.9
"Coquillettes IGP d'Alsace aux oeufs U, sachet de 250g ",1.27
"Spirales aux oeufs GRAND'MERE, sachet de 250g ",1.97
"Macaronis coupés IGP VALFLEURI, paquet de 250g ",0.83
"Mini'pat torsades bio cuisson rapide BIO VALFLEURI, 400g ",1.67
"Coquilles d'Alsace aux oeufs GRAND'MERE, sachet de 250g ",1.47
"Nids n°4 GRAND'MERE, sachet de 250g ",1.61
"Torsades BIO sans gluten GRAND'MERE, sachet de 250g ",1.44
"Lasagnette IGP pâtes d'Alsace VALFLEURI, paquet de 250g ",0.96
"Torsades IGP VALFLEURI, paquet de 250g ",1.24
"Spaghetti longs aux oeufs LUSTUCRU, paquet de 250g ",0.8
"Spaghetti aux oeufs IGP VALFLEURI, paquet de 500g ",0.79
"Penne BIO sans gluten GRAND'MERE, sachet de 250g ",1.07
"Macaronis longs aux oeufs GRAND'MERE, sachet de 250g ",1.07
"Coquillette d'Alsace aux oeufs IGP VALFLEURI, paquet de 250g ",1.07
Tendr'épices Bio torsades pois cassés VALFLEURI sachet 250g ,1.07
"Spaghetti d'Alsace aux oeufs GRAND'MERE, paquet de 250g ",1.07
"Torsades GRAND'MERE, sachet de 250g ",1.01
"Spaghetti BIO sans gluten GRAND'MERE, sachet de 250g ",1.11
"Spaghetti IGP VALFLEURI, paquet de 250g ",1.02
"Pâtes d'Alsace Nids n°4 IGP GRAND'MERE, sachet de 500g ",1.09
"Coquillettes d'Alsace aux oeufs GRAND'MERE, sachet de 250g ",1.2
"Nids d'Alsace n°2 GRAND'MERE, sachet de 250g ",2.01
"Papillons GRAND'MERE, sachet de 250g ",
"Petits coudes aux oeufs GRAND'MERE, sachet de 250g ",1.05
"Macaroni coupés IGP GRAND'MERE, sachet de 250g ",1.89
"Penne IGP VALFLEURI, paquet de 250g ",1.15
"Mini'pat coquillettes bio cuisson rapide BIO VALFLEURI, 400g ",1.19
Tendr'épices Bio torsades lentilles corail VALFLEURI 250g ,0.95
"Coquillettes aux oeufs LUSTUCRU, 250g ",2.3
"Gros coudes IGP VALFLEURI, paquet de 250g ",
"Penne aux oeufs GRAND'MERE, sachet de 250g ",1.07
"Späetzle GRAND'MERE, sachet de 500g ",1.15
"Spaetzle GRAND'MERE, sachet de 250g ",2.52
"Nids cuisson 2mm IGP VALFLEURI, paquet de 250g ",1.05
"Nuddle laminées à l'ancienne cuisson 5min VALFLEURI, paquet de 500g ",0.99
"Nids cuisson 5mn IGP VALFLEURIS, paquet de 250g ",1.91
"Lasagnes qualité supérieure U, boîte de 500g ",1.15
"Pâtes Conchiglie 5 couleurs U SAVEURS, sachet de 500g ",1.97
"Penne de lentilles corail BARILLA, paquet de 250g ",0.99
"Torsades complètes U BIO, paquet de 500g ",0.99
"Pennes complètes U BIO, boîte en carton de 500g ",1.07
"Torsades au blé complet U, sachet de 500g ",
"Spaghetti bio  U, paquet de  500g ",0.99
"Farfalles U BIO, paquet de 500g ",1.15
"Spaghetti bio BARILLA, 500g ",2.01
"Pennette rigatte au blé complet Intégrali BARILLA, 500g ",2.52
"Coquillettes aux oeufs LUSTUCRU, 250g ",0.85
"Gros coudes IGP VALFLEURI, paquet de 250g ",1.2
"Penne aux oeufs GRAND'MERE, sachet de 250g ",1.06
"Späetzle GRAND'MERE, sachet de 500g ",1.94
"Spaetzle GRAND'MERE, sachet de 250g ",1.05
"Nids cuisson 2mm IGP VALFLEURI, paquet de 250g ",1.18
"Nuddle laminées à l'ancienne cuisson 5min VALFLEURI, paquet de 500g ",2.26
"Nids cuisson 5mn IGP VALFLEURIS, paquet de 250g ",1.17
"Lasagnes qualité supérieure U, boîte de 500g ",1.09
"Pâtes Conchiglie 5 couleurs U SAVEURS, sachet de 500g ",1.71
"Penne de lentilles corail BARILLA, paquet de 250g ",2.84
"Torsades complètes U BIO, paquet de 500g ",1.11
"Pennes complètes U BIO, boîte en carton de 500g ",1.01
"Torsades au blé complet U, sachet de 500g ",
"Spaghetti bio  U, paquet de  500g ",1.01
"Farfalles U BIO, paquet de 500g ",1.32
"Spaghetti bio BARILLA, 500g ",
"Pennette rigatte au blé complet Intégrali BARILLA, 500g ",1.15
"Coquillettes au blé complet Intégrali BARILLA, 500g ",1.21
"Penne rigate bio BARILLA, 500g ",
Spaghetti au blé complet Intégrali BARILLA étui 500g ,0.93
"Vermicelle qualité supérieure U, sachet de 500g ",0.5
"Pates cheveux d'ange IGP d'Alsace aux oeufs U, sachet 250g ",1.11
"Pâtes Alphabet aux oeufs GRAND'MERE, 250g ",1.08
"Riz long grain étuvé 10 minutes U, étui vrac de 1kg ",1.33
"Riz long étuvé 10 minutes vrac U, étui de 500g ",0.87
"Riz 10min étuvé LUSTUCRU, étui de 900g ",1.72
"Riz long grain étuvé 10 minutes U, étui de 5 sachets cuisson, 200g ",1.18
"Riz long grain étuvé 10 minutes U, 4 sachets cuisson de 125g, 500g ",0.81
"Riz long grain cuisson rapide 10 minutes UNCLE BEN'S, 5x200g ",2.45
"Riz 10min étuvé LUSTUCRU, sachet cuisson de 900g ",
"Riz long spécial risotto DONATI, 1kg ",2.52
"Riz long pigino, 1kg ",0.79
"Riz long basmati U, paquet aluminisé de 500g ",0.95
"Mélange de riz basmati et sauvage 15 minutes U, étui de 500g ",1.94
"Riz long thaï U, sachet carré en aluminium de 1kg ",1.91
"Riz basmati du Penjab TAUREAU AILE, étui de 1kg ",1.21
"Riz carnaroli RISO GALLO, paquet de 500g ",
"Riz pour risotto crémeux & savoureux 15-18mn TAUREAU AILE, 500g ",0.93
"Riz thaï du plateau de l'is-an TAUREAU AILE, paquet de 1kg ",0.5
"Riz thaï du plateau de l'is-an TAUREAU AILE, étui de 500g ",1.11
"Riz basmati penjab long grain naturellement parfumé TAUREAU AILE, sachet de 600g ",1.08
"Riz pour risotto gran RISO GALLO, boîte de 500g ",1.33
"Riz Kamalis TAUREAU AILE, étui de 500g ",0.87
"Riz long IGP méditerranée TAUREAU AILE, étui de 1kg ",1.72
"Risotto pronto aux cèpes RISO GALLO, boîte 210g ",1.18
"Le riz parfumé le délicat 11 minutes TAUREAU AILE, paquet 500g ",0.81
"Riz long parfumé Pigino, 1kg ",2.45
"Riz basmati U, 5x200g ",
"Riz long Thai U, 4 sachets cuisson de 125g, 500g ",2.52
"Riz basmati UNCLE BEN'S, 4 sachet cuisson, 500g ",0.79
"Riz complet U, étui de 500g ",0.95
"Riz long semi-complet étuvé 10 minutes U BIO, paquet de 500g ",1.94
"Riz thaï Bio U, 500g ",1.91
GRISSINI ARTIGIANALI TRADITIONNELS 300G ,3.86
Crackers riz et curcuma PAVESI 280g ,2.87
"Crackers aux tomates PAVESI, 280g ",1.74
"Coeurs d'artichauts à la paysanne FLORELLI, pot en verre de 280g ",2.89
Crackers aux olives PAVESI 280g ,2.13
"Chips saveur barbecue U, paquet de 135g ",2.81
"Chips de légumes U SAVEURS, paquet de 100g ",2.33
"Chips nature U, 1 sachet 150g ",2.41
"Chips à l'ancienne nature U, 6 sachets de 30g ",1.51
"Chips nature bio U BIO, sachet de 125g ",2.16
"Chips paysanne nature U, paquet de 150g ",1.84
"Chips à l'ancienne saveur moutarde U, paquet de 135g ",1.56
"Chips ondulées U BIO, sachet de 125g ",1.98
"Chips ondulées easy U, 6x30g ",1.45
"Chips à l'ancienne nature U, sachet de 150g ",1.98
"Chips nature multipack U, 6x30g easypack ",1.15
"Chips saveur barbecue LAY'S, sachet de 240g ",1.69
"Chips finement salées LAY'S, 6x25g ",1.84
"Chips saveur barbecue LAY'S, sachet de 130g ",1.79
"Chips saveur poulet thym roti LAY'S , sachet de 130g ",2.65
"Chips saveur spicy LAY'S, sachet de 130g ",2.65
"Chips à l'ancienne LAY'S, paquet de 6x27,5g ",2.75
"Chips à l'ancienne LAY'S, sachet de 300g ",2.65
"Chips super craquante saveur chèvre piment d'Espelette BRET'S, paquetde 125g ",0.81
