name,price
"Pâtes italiennes lumache medie n°16 U, 500g ",1.45
"Pates torsade qualité supérieure U, paquet de 1kg ",0.85
"Coquillette cuisson rapide U, sachet de 500g ",0.55
"Spaghetti qualité supérieure U, sachet cello de 1kg ",0.79
"Macaroni qualité supérieure U, sachet de 1kg ",0.78
"Coudes rayés qualité supérieure U, paquet cello de 500g ",0.79
"Pâtes italiennes cavatappi n°10 U, paquet de 500g ",1.45
"Macaroni qualité supérieure U, paquet cello de 500g ",0.39
"Torsade qualité supérieure U, paquet cello de 500g ",0.47
"Pâtes italiennes fusilli n°6 U, paquet de 500g ",1.45
"Torsade cuisson rapide U, sachet de 500g ",0.47
"Pâtes italiennes torciglioni n°1 U, 500g ",1.45
"Coudes rayés qualité supérieure U, sachet de 1kg ",1.25
"Mini noeud papillon U, paquet de 1kg ",1.65
"Pâtes Italiennes linguinei n°9 U, paquet de 500g ",1.45
"Coquillettes qualité supérieure U, sachet de 1kg ",0.79
"Spaghetti qualité supérieure U, paquet cello de 500g ",0.39
"Coquillette qualité supérieure U, paquet cello de 500g ",0.39
"Lasagnette aux oeufs BARILLA, 300g ",2.3
"Spaghetti n°5 sans gluten BARILLA, boite de 400g ",1.65
"Torti PANZANI, paquet de 500g ",0.7
"Spaghettoni n°7 BARILLA, 500g ",0.78
"Torsades BARILLA, étui de 500g ",0.8
Macaroni qualité supérieure BARILLA étui 500g ,0.89
"Spaghetti PANZANI, paquet de 500g ",0.73
"Spaghetti n°5 BARILLA, 1kg ",
"Coudes rayés PANZANI,paquet de 500g ",0.88
"Penne rigate n°66 RUMMO, sachet de 500g ",1.12
"Coquillettes BARILLA, 1kg ",
"Fettuccine aux oeufs BARILLA, 300g ",
"Spaghetti n°5 qualité supérieure BARILLA, étui de 500g ",0.77
"Spaghetti 11 minutes academia BARILLA, 500g ",
"Coquillettes BARILLA, étui de 500g ",0.76
"Coquillettes PANZANI, 500g ",0.73
"Macaroni PANZANI, paquet de 500g ",0.73
"Spaghettini n°3 BARILLA, 500g ",1.0
"Gansettes PANZANI, 500g ",2.3
"Pâtes Fusilli n°48 RUMMO, sachet de 500g ",1.65
"Tagliatelles n°16 BARILLA,boîte de 500g ",0.7
"Fusilli PANZANI, 500g ",0.78
"Spaghetti n°12 DE CECCO, paquet de 500g ",0.8
"Pâtes coudes rayés cuisson rapide PANZANI, 500g ",0.89
"Spaghetti n°5 grossi RUMMO, sachet de 500g ",0.73
"Gansettes qualité pâtes fraîches PANZANI, paquet de 400g ",
"Fusilli 8 minutes academia BARILLA, 500g ",0.88
"Spaghettis plats PANZANI, paquet de 500g ",1.12
"Nouilles fines PANZANI, paquet cello de 500g ",
"Pipe rigate BARILLA, boîte de 500g ",
"Pâtes créatives pipe rigate PANZANI, sachet de 500g ",0.77
"Pâtes mafaldine napoletane 9 minutes BARILLA, paquet de 500g ",
"Spaghetti bianchi, sachet de 1kg ",0.76
"Macaroni bianchi, sachet de 1kg ",0.73
"Coquillettes bianchi, sachet de 1 kg ",0.73
"Farfalles cuisson rapide U, 500g ",1.0
"Spaghetti cuisson rapide U, sachet de 500g ",
"Spaghetti cuisson rapide U, 1kg ",1.12
"Spaghetti 3 minuti al dente BARILLA, paquet de 500g ",
"Pâtes farfalle cuisson rapide PANZANI, 500g ",1.01
"Pâtes spaghetti cuisson rapide PANZANI, 500g ",1.57
"Torti cuisson rapide les 3 minutes PANZANI, 1kg ",
"Pâtes macaroni cuisson rapide PANZANI, 500g ",1.12
"Spaghettis LUSCTUCRU, 500g ",
"Spaghetti cuisson 3mn PANZANI, 1kg ",1.81
"Torti légumes cuisson rapide PANZANI, paquet de 500g ",
"Coquillettes cuisson rapide PANZANI, 500g ",
"Pâtes spaghetti plat cuisson rapide 3 minutes PANZANI, 500g ",0.82
"Torti cuisson rapide PANZANI, 500g ",
"Mini farfalle piccolini BARILLA, paquet de 500g ",
"Mini pipe rigate Piccolini BARILLA, 500g ",0.64
"Mini penne rigate piccolini BARILLA, paquet de 500g ",0.66
"Pâtes gigli nature U SAVEURS, sachet de 500g ",0.66
"Farfalle qualité supérieure cello U, 500g ",
"Pâtes Italiennes penne lisce n°48 U, 500g ",
"Penne qualité supérieure cello U, 500g ",
"Penne Rigate qualité supérieure U, sachet de 1kg ",
"Farfalle qualité supérieure U, sachet de 1kg ",
"Pates Lumaconi nature U SAVEURS, sachet de 500g ",0.96
"Capellini qualité supérieure U, sachet de 500g ",1.93
"Tagliatelles Nids qualité supérieure U, sachet de 500g ",
"Pates trottole U SAVEURS, sachet de 500g ",1.22
"Farfalle n°93 DE CECCO, 500g ",1.98
"Pâtes linguine n°13 RUMMO, sachet de 500g ",
"Linguine n°7 DE CECCO, paquet de 500g ",0.98
Pâtes la farfalla GRANO ARMANDO 500g ,1.35
"Pâtes créatives tortiglioni PANZANI, sachet de 500g ",0.96
"Torsades BARILLA, 1kg ",
"Orecchiette La Collezione BARILLA, 500g ",
