name,price
Boisson gazéfiée saveur cola avec sucre et édulcorant U Pet 2L ,0.86
"Boisson gazéifiée saveur cola avec édulcorant 1,5L ",0.73
"Soda cola zéro U, 6 canettes de 33cl ",1.69
"COLA zéro sans sucre, 1,5L ",0.6
Boisson gazéifiée saveur cola avec sucre et édulcorant 1L ,0.51
Boisson gazéifiée saveur cola et cerise avec sucre et édulcorant ,0.91
"Boisson gazéifiée saveur cola avec édulcorant, 1L ",0.55
"Cola regular U, 6x33cl ",1.72
"Cola Transparent édition limitée U, 1l ",0.51
"PEPSI Max, 1,5l ",1.05
"COCA COLA, 8 mini canettes de 15cl ",3.14
"COCA-COLA, 4 bouteilles en plastique de 50cl ",3.22
"COCA-COLA, bouteille en plastique de 1,75l ",1.78
"COCA-COLA zero sans caféine, bouteille de 1,25l ",
"COCA COLA zéro, 6x1,25L ",7.5
"COCA-COLA zéro lemon, bouteille en plastique de 1,25l ",
"PEPSI Max, 6 canettes de 33cl ",2.32
"Cola ELSASS, boite aluminium 6 bouteilles de 33cl ",2.5
"Cola regular PEPSI, 1,5l ",0.86
"COCA-COLA Zéro, 4x50cl ",0.73
"COCA-COLA, bouteille en plastique 6x1,25l ",1.69
"COCA-COLA light, bouteille en plastique de 1,25L ",0.6
"COCA COLA light, 8x25cl ",0.51
"COCA COLA cherry, bouteille en plastique de 1,25litre ",0.91
"COCA-COLA, 10 canettes de 33cl ",0.55
"COCA-COLA zéro, 6x33cl ",1.72
"COCA COLA régular, 8 bouteilles de verre de 20cl ",0.51
"Cola ELSASS, 6 bouteilles de 50cl ",1.05
"Cola regular PEPSI, bouteille de 1l ",3.14
"DR PEPPER, 6 canettes de 33cl ",3.22
"PEPSI Max, bouteille de 1l ",1.78
"COCA COLA zéro, 8 mini canettes de 15cl ",
"COCA-COLA, 6 boîtes de 33cl ",7.5
"COCA-COLA cherry, 6 boites de 33cl ",
"PEPSI Cola Regular, 6 canettes de 33cl ",2.32
"Cola ELSASS, bouteille de 1,25l ",2.5
"COCA COLA vanille, bouteille en plastique de 1,25litre ",1.16
"Cola puma, bouteille de 1,5l ",2.8
"Boisson gazifiée aromatisée agrumes avec édulcorant 1,5L ",8.58
"Boisson gazéifiée aux extraits de fruits aromatisée 1,5L ",
"Diabolo menthe U, bouteille en plastique de 1,5L ",4.0
"Soda saveur agrumes, 1,5l ",1.64
"Boisson gazifiée au jus d'orange à base de concentré avec sucre etédulcorant 1,5L ",5.05
"Boisson gaziéfiée au jus de citron à base de concentré avec sucre etédulcorant 1,5L ",2.58
"Boisson gazéifiée citron, citron vert et menthe avec sucre et édulcorant, 1,5L ",
"Boisson gazeuse arômatisée jus d'orange et orange sanguine SAN PELLEGRINO, 6x33cl ",3.95
"Agrum SCHWEPPES, bouteille en plastique de 1,5 litre ",0.99
"Orange FANTA, bouteille de 1,5l ",4.05
"PULCO fines bulles citron citron vert, 1l ",0.99
"SCHWEPPES agrum', bouteille de 1l ",3.02
"SCHWEPPES, lemon slim can 6x33cl ",2.88
"SCHWEPPES agrum zéro, bouteille de 1,5l ",3.1
"Mojito SCHWEPPES, 6 canettes slim de 33cl ",2.4
"FANTA Orange, bouteille de 1l ",1.15
"Boisson gazeuse aromat.jus orange ABC SAN PELLEGRINO, ARANCIATA, 6X33cl ",
"RICQLES menthe, 8x25cl ",0.43
"SCHWEPPES, agrum zéro slim can 6x33cl ",0.86
"PULCO fines bulles saveur citron, bouteille de 1l ",1.05
"FANTA Citron frappé, 1,5L ",1.05
"Soda au citron KAS, bouteille de 1,5l ",
"Boisson gazeuse aromatisée jus de citron et menthe SAN PELLEGRINO, 6x33cl ",0.82
"Boisson gazeuse arômatisée au jus de citron SAN PELLEGRINO, 6x33cl ",
"Schweppes lemon zéro, bouteille de 1,5l ",0.98
"SCHWEPPES, agrum slim can 6x33cl ",
"FANTA orange, 6x33cl ",1.53
"SCHWEPPES mojito, bouteille de 1l ",1.35
"SCHWEPPES Lemon, 1,5 litre ",1.72
"SCHWEPPES agrumes,  4 bouteilles de 50cl ",
"SCHWEPPES agrum, pack boîtes de 12x15cl ",
"PULCO fines bulles saveur citron menthe, bouteille de 1l ",1.46
"Pulpé orange puma, bouteille de 1,5l ",
"Boisson gazéifiée au jus d'orange pulpé à base de concentré avec sucre1,5L ",
"Boisson gazéifiée au jus d'orange pulpé à base de concentré avecédulcorant 1,5L ",3.3
"Boisson gazifiée aux jus d'oranges pulpés à base de concentrés avecsucre et édulcorant 1,5L ",4.8
"ORANGINA standard, bouteille de 1l ",2.98
"ORANGINA standard, slim cannette 6x33cl ",1.7
"ORANGINA light, bouteille de 1l ",1.39
