name,price
Boisson gazéfiée saveur cola avec sucre et édulcorant U Pet 2L ,0.86
"Boisson gazéifiée saveur cola avec édulcorant 1,5L ",0.7
"Soda cola zéro U, 6 canettes de 33cl ",1.69
"COLA zéro sans sucre, 1,5L ",0.6
Boisson gazéifiée saveur cola avec sucre et édulcorant 1L ,0.51
Boisson gazéifiée saveur cola et cerise avec sucre et édulcorant ,0.91
"Boisson gazéifiée saveur cola avec sucre et édulcorant, 1,5L ",0.67
"Boisson gazifiée saveur cola avec sucre et édulcorant, 4x1,5L ",2.34
"Boisson gazéifiée saveur cola avec édulcorant, 1L ",0.55
"Cola regular U, 6x33cl ",1.72
"Cola Transparent édition limitée U, 1l ",0.56
"PEPSI Max, 1,5l ",1.04
"COCA COLA, 8 mini canettes de 15cl ",3.11
"COCA-COLA, 4 bouteilles en plastique de 50cl ",3.22
"Boisson rafraîchissante DR PEPPER, bouteille de 1,5l ",2.25
"COCA-COLA, bouteille en plastique de 1,75l ",1.84
"COCA-COLA zero sans caféine, bouteille de 1,25l ",
"COCA COLA zéro, 6x1,25L ",7.62
"COCA-COLA zéro lemon, bouteille en plastique de 1,25l ",
"PEPSI Max, 6 canettes de 33cl ",2.28
"Cola ELSASS, boite aluminium 6 bouteilles de 33cl ",2.54
"Cola regular PEPSI, 1,5l ",1.18
"COCA-COLA Zéro, 4x50cl ",2.87
"COCA-COLA, bouteille en plastique 6x1,25l ",8.71
"COCA-COLA light, bouteille en plastique de 1,25L ",1.28
"COCA COLA light, 8x25cl ",3.72
"PEPSI Max cherry, bouteille de 1,5 litre ",1.45
"COCA COLA cherry, bouteille en plastique de 1,25litre ",1.68
"COCA-COLA, 10 canettes de 33cl ",5.04
"COCA-COLA zéro, 6x33cl ",2.6
"Cola ELSASS, 6 bouteilles de 50cl ",3.94
"Cola regular PEPSI, bouteille de 1l ",1.1
"DR PEPPER, 6 canettes de 33cl ",4.02
"PEPSI Max, bouteille de 1l ",0.94
"COCA COLA zéro, 8 mini canettes de 15cl ",3.0
"COCA-COLA, 6 boîtes de 33cl ",2.89
"COCA-COLA zéro lemon, bouteille en plastique de 1,25l ",
"PEPSI Max, 6 canettes de 33cl ",2.28
"Cola ELSASS, boite aluminium 6 bouteilles de 33cl ",2.54
"Cola regular PEPSI, 1,5l ",1.18
"COCA-COLA Zéro, 4x50cl ",2.87
"COCA-COLA, bouteille en plastique 6x1,25l ",8.71
"COCA-COLA light, bouteille en plastique de 1,25L ",1.28
"COCA COLA light, 8x25cl ",3.72
"PEPSI Max cherry, bouteille de 1,5 litre ",1.45
"COCA COLA cherry, bouteille en plastique de 1,25litre ",1.68
"COCA-COLA, 10 canettes de 33cl ",5.04
"COCA-COLA zéro, 6x33cl ",2.6
"Cola ELSASS, 6 bouteilles de 50cl ",3.94
"Cola regular PEPSI, bouteille de 1l ",1.1
"DR PEPPER, 6 canettes de 33cl ",4.02
"PEPSI Max, bouteille de 1l ",0.94
"COCA COLA zéro, 8 mini canettes de 15cl ",3.0
"COCA-COLA, 6 boîtes de 33cl ",2.89
"COCA-COLA cherry, 6 boites de 33cl ",3.19
"PEPSI Cola Regular, 6 canettes de 33cl ",2.38
"Cola ELSASS, bouteille de 1,25l ",1.15
"COCA COLA vanille, bouteille en plastique de 1,25litre ",
"COCA-COLA Zéro, bouteille en plastique de 1,75l ",1.69
"Cola puma, bouteille de 1,5l ",0.43
"Boisson gazifiée aromatisée agrumes avec édulcorant 1,5L ",0.86
"Boisson gazéifiée aux extraits de fruits aromatisée 1,5L ",1.05
"Diabolo menthe U, bouteille en plastique de 1,5L ",1.05
"Soda saveur agrumes, 1,5l ",0.9
"Boisson gazifiée au jus d'orange à base de concentré avec sucre etédulcorant 1,5L ",0.82
"Boisson gaziéfiée au jus de citron à base de concentré avec sucre etédulcorant 1,5L ",
"Boisson gazéifiée citron, citron vert et menthe avec sucre et édulcorant, 1,5L ",0.98
"Soda saveur agrumes U, bouteille de 1l ",0.75
"Soda saveur orange U, bouteille de 1 litre ",
"Boisson gazeuse arômatisée jus d'orange et orange sanguine SAN PELLEGRINO, 6x33cl ",3.63
"Agrum SCHWEPPES, bouteille en plastique de 1,5 litre ",1.55
"Orange FANTA, bouteille de 1,5l ",1.35
"PULCO fines bulles citron citron vert, 1l ",3.19
"SCHWEPPES agrum', bouteille de 1l ",2.38
"SCHWEPPES, lemon slim can 6x33cl ",1.15
"SCHWEPPES agrum zéro, bouteille de 1,5l ",
"Mojito SCHWEPPES, 6 canettes slim de 33cl ",1.69
"FANTA Orange, bouteille de 1l ",0.43
"Boisson gazeuse aromat.jus orange ABC SAN PELLEGRINO, ARANCIATA, 6X33cl ",0.86
"RICQLES menthe, 8x25cl ",1.05
"SCHWEPPES, agrum zéro slim can 6x33cl ",1.05
"PULCO fines bulles saveur citron, bouteille de 1l ",0.9
"FANTA Citron frappé, 1,5L ",0.82
"Boisson gazeuse aromatisée jus de citron et menthe SAN PELLEGRINO, 6x33cl ",
"Boisson gazeuse arômatisée au jus de citron SAN PELLEGRINO, 6x33cl ",0.98
"Schweppes lemon zéro, bouteille de 1,5l ",0.75
"SCHWEPPES, agrum slim can 6x33cl ",
"FANTA orange, 6x33cl ",3.63
"SCHWEPPES mojito, bouteille de 1l ",1.55
"SCHWEPPES Lemon, 1,5 litre ",1.35
"SCHWEPPES agrumes,  4 bouteilles de 50cl ",1.66
"SCHWEPPES agrum, pack boîtes de 12x15cl ",1.39
"PULCO fines bulles saveur citron menthe, bouteille de 1l ",3.18
"Pulpé orange puma, bouteille de 1,5l ",1.51
"Boisson gazéifiée au jus d'orange pulpé à base de concentré avec sucre1,5L ",3.24
"Boisson gazéifiée au jus d'orange pulpé à base de concentré avecédulcorant 1,5L ",1.14
"Boisson gazifiée aux jus d'oranges pulpés à base de concentrés avecsucre et édulcorant 1,5L ",3.63
"Orangeade pulpée U, bouteille de 1 litre ",5.06
"ORANGINA standard, bouteille de 1l ",3.05
"ORANGINA standard, slim cannette 6x33cl ",1.83
"ORANGINA light, bouteille de 1l ",1.4
"ORANGINA, bouteille en plastique de 1,5l ",3.41
"ORANGINA, 12 canettes de 15cl ",3.62
ORANGINA light slim boîte 6x33cl ,1.47
"Boisson gazeuse à l'eau de source pomme et poire, POM'DE LISBETH, bouteille de 1,25l ",3.07
"ORANGINA Rouge orange sanguine, bouteille de 1,5l ",2.4
"Boisson gazeuse à l'eau de source pomme et poire POM'DE LISBETH, 6 bouteilles de 33cl ",1.48
"ORANGINA, 8 bouteilles de 25cl ",1.59
"ORANGINA, 4 bouteilles de 50cl ",3.35
"Orangina light pet 1,5 litre ",4.61
"ORANGINA, 6 bouteilles de 25cl ",1.83
"Cocktail sans alcool mojito LORINA, bouteille en plastique de 1,5l ",0.67
"ORANGINA standard à la pulpe d'orange, bouteille de 2 litres ",0.99
"Limonade U PET, 4x1,5L ",0.99
"Limonade U, 6 bouteilles de 33cl ",1.1
"Limonde zéro sans sucre U, 1,5l ",0.75
"Limonade U BIO, bouteille de 1l ",1.38
"Limonade à l'ancienne Saveurs U, bouteille en verre de 1l ",3.07
"Limonade zéro LORINA, 1,5l ",1.44
"Limonade double zest LORINA, bouteille de 1,5l ",1.55
"Limonande LINESS, bouteille de 1,25l ",4.29
"Limonade artisanale LORINA, bouteille de 1l ",3.09
"Limonade cristal LORINA, 1,25l ",1.23
"Limonade bio ""Recette Authentique"" LORINA, 1,25l ",1.73
"Limonade LINESS, 6x33cl ",2.68
"Limonade MIXMI, bouteille en verre de 1l ",4.11
"Limonade puma, bouteille de 1,5 litre ",3.07
"Tonic zero U PET, 1,50L ",1.53
"Tonic U, 6 bouteille de 33cl ",3.25
"Tonic U PET, 1,50L ",1.91
"Indian Tonic SCHWEPPES, 8x25cl ",2.01
"SCHWEPPES, Indian tonic zéro slim can 6x33cl ",2.72
"SCHWEPPES, Indian Tonic slim can 6x33cl ",2.19
"CANADA DRY Ginger Ale, 6x33cl ",0.68
"GINI Lemon, 6 canettes de 33cl ",0.85
"SCHWEPPES indian tonic, 4 bouteilles de 50cl ",1.99
"SCHWEPPES Indian Tonic, bouteille de 1,5l ",1.44
"SCHWEPPES Indian Tonic zero, 1,5l ",1.18
"GINI, bouteille de 1,5l ",0.8
"CANADA DRY, bouteille de 1,5l ",2.63
"SCHWEPPES Indian Tonic, 12 boîtes de 15cl ",2.1
"Boisson gazéifiée à l'extrait de citron et de citron vert avec sucreet édulcorant 1,5L ",2.15
"Soda saveur mojito U, 6 canettes de 33cl ",2.59
"Zéro SEVEN UP, bouteille de 1,5l ",0.8
"Boisson rafraîchissante au thé vert RIVELLA Vert, bouteille en plastique de 1l ",1.39
"SEVEN UP, boîte de 6x33cl ",2.15
"SEVEN UP zéro, boîtes 6x33cl ",2.35
"Boisson rafraîchissante sans sucre RIVELLA Bleue, bouteille en plastique de 1l ",1.37
"SEVEN UP mojito free, bouteille de 1,5l ",1.39
"Limonade RIVELLA Original, 6 bouteilles de 50cl ",5.45
"SEVEN UP mojito, 6 boîtes de 33cl ",2.56
"Boisson rafraîchissante RIVELLA, bouteille en plastique 1 litre ",1.4
"SEVEN UP mojito bouteille de 1,5 litre ",1.27
"SEVEN UP, bouteille de 1,5l ",1.1
"Boisson rafraîchissante RIVELLA Rouge, bouteille de 1l ",1.39
"SPRITE profitez-en pet 1,25 litre ",1.35
"Boisson énergisante mango loco MONSTER, 50cl ",1.43
"Energy sans sucres COCA COLA, 25cl ",1.14
"Boisson énergisante Ripper MONSTER, canette de 50cl ",1.38
"Energy DARK DOG, bouteille de 1l ",2.56
"Boisson énergisante à la taurine DARK DOG, canette de 50cl ",1.75
"Boisson énergisante MONSTER ENERGY, 4 boites de 50cl ",4.24
"Boisson énergisante MONSTER ENERGY, boite de 50cl ",1.39
"Boisson énergisante RED BULL Tropical, 25cl ",2.15
"Boisson énergisante à la taurine blue moon goût de baies et menthe DARK DOG, bouteille de 1l ",2.35
"Boisson énergisante à la taurine, RED BULL, 4 canettes de 35,5cl ",1.37
"Boisson énergisante RED BULL, 4x25cl ",1.39
"Boisson énergisante punch MONSTER, canette de 50cl ",5.45
"Boisson énergisante energy drink RED BULL, boîte de 47,3cl ",2.56
"Energy original COCA COLA, 25cl ",1.4
"Boisson énergisante à la taurine orange spritz DARK DOG, bouteille de1l ",1.27
"Boisson énergisante à la taurine DARK DOG, canette de 25cl ",1.1
"Boisson énergisante energy drink RED BULL, canette de 35,5cl ",1.39
