name,price
"COLA zéro sans sucre, 1,5L ",0.69
"PEPSI Max, 1,5l ",1.06
"COCA COLA, 8 mini canettes de 15cl ",
"COCA-COLA, 4 bouteilles en plastique de 50cl ",3.27
"COCA-COLA, bouteille en plastique 1,25litre ",1.47
"COCA-COLA, bouteille en plastique de 1,75l ",1.86
"COCA-COLA zero sans caféine, bouteille de 1,25l ",
"COCA COLA zéro, 6x1,25L ",7.37
"Cola regular PEPSI, 1,5l ",1.21
"COCA-COLA Zéro, 4x50cl ",2.85
"COCA-COLA, bouteille en plastique 6x1,25l ",8.57
"COCA-COLA light, bouteille en plastique de 1,25L ",
"COCA COLA light, 8x25cl ",
"COCA-COLA, 10 canettes de 33cl ",5.2
"COCA-COLA zéro, 6x33cl ",
"COCA-COLA, 6 boîtes de 33cl ",2.92
"COCA-COLA cherry, 6 boites de 33cl ",3.18
"PEPSI Cola Regular, 6 canettes de 33cl ",
"COCA COLA zéro, bouteille de 1,25L ",1.41
"COCA-COLA Zéro, bouteille en plastique de 1,75l ",1.72
"Boisson gazifiée au jus d'orange à base de concentré avec sucre etédulcorant 1,5L ",0.89
"Agrum SCHWEPPES, bouteille en plastique de 1,5 litre ",2.0
"Orange FANTA, bouteille de 1,5l ",1.38
"SCHWEPPES agrum', bouteille de 1l ",1.41
"SCHWEPPES agrum zéro, bouteille de 1,5l ",1.51
"FANTA Orange, bouteille de 1l ",
"SCHWEPPES, agrum zéro slim can 6x33cl ",2.99
"Schweppes lemon zéro, bouteille de 1,5l ",1.5
"SCHWEPPES mojito, bouteille de 1l ",1.5
"SCHWEPPES Lemon, 1,5 litre ",
"SCHWEPPES agrumes,  4 bouteilles de 50cl ",
"ORANGINA standard, bouteille de 1l ",1.4
"ORANGINA standard, slim cannette 6x33cl ",2.94
"ORANGINA, bouteille en plastique de 1,5l ",1.55
"Boisson gazeuse à l'eau de source pomme et poire, POM'DE LISBETH, bouteille de 1,25l ",1.24
"Boisson gazeuse à l'eau de source pomme et poire POM'DE LISBETH, 6 bouteilles de 33cl ",3.04
"Orangina light pet 1,5 litre ",1.41
"Limonade U, 6 bouteilles de 33cl ",1.72
"Limonde zéro sans sucre U, 1,5l ",0.89
"Limonade U BIO, bouteille de 1l ",2.0
"Limonade à l'ancienne Saveurs U, bouteille en verre de 1l ",1.38
"Limonande LINESS, bouteille de 1,25l ",1.41
"Agrumade artisanale bio LORINA, bouteille en plastique de 1,25cl ",1.51
"Limonade artisanale LORINA, bouteille de 1l ",
"Limonade Bio LINESS, bouteille en verre de 75cl ",2.99
"Limonade bio ""Recette Authentique"" LORINA, 1,25l ",1.5
"Limonade LINESS, 6x33cl ",1.5
"Limonade MIXMI, bouteille en verre de 1l ",
"Limonade puma, bouteille de 1,5 litre ",
"Tonic zero U PET, 1,50L ",1.4
"Tonic U, 6 bouteille de 33cl ",2.94
"Tonic U PET, 1,50L ",1.55
"SCHWEPPES, Indian tonic zéro slim can 6x33cl ",1.24
"SCHWEPPES, Indian Tonic slim can 6x33cl ",3.04
"SCHWEPPES indian tonic, 4 bouteilles de 50cl ",1.54
"SCHWEPPES Indian Tonic, bouteille de 1,5l ",2.24
"SCHWEPPES Indian Tonic zero, 1,5l ",0.85
"CANADA DRY, bouteille de 1,5l ",0.91
"SCHWEPPES Indian Tonic, 12 boîtes de 15cl ",2.02
"Zéro SEVEN UP, bouteille de 1,5l ",0.82
"Boisson rafraîchissante au thé vert RIVELLA Vert, bouteille en plastique de 1l ",2.0
"Boisson rafraîchissante sans sucre RIVELLA Bleue, bouteille en plastique de 1l ",
"Boisson rafraîchissante RIVELLA, bouteille en plastique 1 litre ",1.43
"SEVEN UP mojito bouteille de 1,5 litre ",2.31
"Boisson rafraîchissante RIVELLA Rouge, bouteille de 1l ",2.87
"SPRITE profitez-en pet 1,25 litre ",0.78
"Boisson énergisante mango loco MONSTER, 50cl ",0.37
"Boisson énergisante blue edition RED BULL, boîte de 25cl ",0.85
"Boisson énergisante MONSTER ENERGY, boite de 50cl ",2.37
"Boisson énergisante RED BULL Tropical, 25cl ",0.81
"Boisson énergisante regular RED BULL, 25cl ",
"Boisson énergisante à la taurine, RED BULL, 4 canettes de 35,5cl ",3.17
"Boisson énergisante RED BULL, 4x25cl ",3.45
"Boisson énergisante energy drink RED BULL, canette de 35,5cl ",
"Boisson énergisante ultra zéro MONSTER, canette de 50cl ",1.56
"Boisson énergisante MONSTER Pipeline punch, boîte de 50cl ",1.63
"Boisson énergisante SPRING UP classic, bouteille de 1l ",
"Energy Drink, boîte de 50cl ",1.18
"Boisson énergisante classic SPRING UP, boîte de 25cl ",1.35
"Boisson aromatisée red spring up, canette de 25cl ",1.36
