name,price
"Pâtes italiennes torciglioni n°1 U, 500g ",1.35
"Coudes rayés qualité supérieure U, sachet de 1kg ",1.25
"Pates torsade qualité supérieure U, paquet de 1kg ",0.85
"Coquillette cuisson rapide U, sachet de 500g ",0.48
"Spaghetti qualité supérieure U, sachet cello de 1kg ",0.76
"Pâtes italiennes lumache medie n°16 U, 500g ",1.29
"Macaroni qualité supérieure U, sachet de 1kg ",0.78
"Coudes rayés qualité supérieure U, paquet cello de 500g ",0.79
"Torsade cuisson rapide U, sachet de 500g ",
"Macaroni qualité supérieure U, paquet cello de 500g ",0.39
"Pâtes italiennes cavatappi n°10 U, paquet de 500g ",1.35
"Pâtes italiennes fusilli n°6 U, paquet de 500g ",1.35
"Torsade qualité supérieure U, paquet cello de 500g ",0.46
"Coquillette qualité supérieure U, paquet cello de 500g ",
"Mini tortillon qualité supérieure U, paquet cello de 1kg ",
"Pâtes Italiennes linguinei n°9 U, paquet de 500g ",1.35
"Nouilles qualité supérieure cello U, paquet de 1kg ",
"Spaghetti qualité supérieure U, paquet cello de 500g ",0.39
"Coquillettes qualité supérieure U, sachet de 1kg ",1.35
"Spaghettini n°3 BARILLA, 500g ",1.25
"Macaroni PANZANI, paquet de 500g ",0.85
"Gansettes PANZANI, 500g ",0.48
"Pâtes Fusilli n°48 RUMMO, sachet de 500g ",0.76
"Coquillettes PANZANI, 500g ",1.29
"Spaghettoni n°7 BARILLA, 500g ",0.78
"Spaghetti n°5 sans gluten BARILLA, boite de 400g ",0.79
"Torti PANZANI, paquet de 500g ",
Macaroni qualité supérieure BARILLA étui 500g ,0.39
"Coudes rayés PANZANI,paquet de 500g ",1.35
"Spaghetti PANZANI, paquet de 500g ",1.35
"Spaghetti n°5 BARILLA, 1kg ",0.46
"Torsades BARILLA, étui de 500g ",
"Coquillettes BARILLA, 1kg ",
"Spaghetti 11 minutes academia BARILLA, 500g ",1.35
"Spaghetti n°5 qualité supérieure BARILLA, étui de 500g ",
"Coquillettes BARILLA, étui de 500g ",0.39
"Fusilli PANZANI, 500g ",0.76
"Pâtes coudes rayés cuisson rapide PANZANI, 500g ",
"Tagliatelles n°16 BARILLA,boîte de 500g ",0.74
"Fusilli 8 minutes academia BARILLA, 500g ",
"Spaghetti n°5 grossi RUMMO, sachet de 500g ",1.7
"Gansettes qualité pâtes fraîches PANZANI, paquet de 400g ",
"Pipe rigate BARILLA, boîte de 500g ",
"Spaghettis plats PANZANI, paquet de 500g ",
"Pâtes mafaldine napoletane 9 minutes BARILLA, paquet de 500g ",0.74
"Nouilles fines PANZANI, paquet cello de 500g ",0.85
"Pâtes créatives pipe rigate PANZANI, sachet de 500g ",0.89
"Macaroni bianchi, sachet de 1kg ",0.74
"Coquillettes bianchi, sachet de 1 kg ",
"Spaghetti bianchi, sachet de 1kg ",
"Torsades cuisson rapide U, sachet  de 1kg ",
"Farfalles cuisson rapide U, 500g ",
"Spaghetti cuisson rapide U, sachet de 500g ",0.8
"Coquillette cuisson rapide U, sachet de  1kg ",
"Farfalles cuisson rapide U, 1kg ",
"Spaghetti cuisson rapide U, 1kg ",
"Nouilles qualité supérieure cello U, 500g ",
"Coquillettes cuisson rapide PANZANI, 500g ",1.96
"Torti légumes cuisson rapide PANZANI, paquet de 500g ",
"Spaghetti cuisson 3mn PANZANI, 1kg ",
"Pâtes spaghetti cuisson rapide PANZANI, 500g ",0.8
"Pâtes farfalle cuisson rapide PANZANI, 500g ",
"Coquillettes 3 minuti al dente BARILLA, paquet de 500g ",
"Pâtes macaroni cuisson rapide PANZANI, 500g ",
"Macaroni cuisson rapide les 3 minutes, PANZANI, 1kg ",
"Coquillettes cuisson 3mn PANZANI, 1kg ",0.66
"Torti cuisson rapide PANZANI, 500g ",0.66
"Spaghetti 3 minuti al dente BARILLA, paquet de 500g ",
"Mini pipe rigate Piccolini BARILLA, 500g ",
"Mini farfalle piccolini BARILLA, paquet de 500g ",
"Mini penne rigate piccolini BARILLA, paquet de 500g ",
"Farfalle qualité supérieure U, sachet de 1kg ",0.96
"Penne Rigate qualité supérieure U, sachet de 1kg ",
"Farfalle qualité supérieure cello U, 500g ",
